cellid,rlf_count_ 1,rlf_count_ 2,rlf_count_ 3,rlf_count_ 4,rlf_count_ 5,rlf_count_ 6,rlf_count_ 7,rlf_count_ 8,rlf_count_ 9,rlf_count_10,rlf_count_11,rlf_count_12,rlf_count_13,rlf_count_14,rlf_count_15,rlf_count_16,rlf_count_17,rlf_count_18,rlf_count_19,rlf_count_20,rlf_count_21,rlf_count_22,rlf_count_23,rlf_count_24,rlf_count_25,rlf_count_26,rlf_count_27,rlf_count_28,rlf_time_ 1,rlf_time_ 2,rlf_time_ 3,rlf_time_ 4,rlf_time_ 5,rlf_time_ 6,rlf_time_ 7,rlf_time_ 8,rlf_time_ 9,rlf_time_10,rlf_time_11,rlf_time_12,rlf_time_13,rlf_time_14,rlf_time_15,rlf_time_16,rlf_time_17,rlf_time_18,rlf_time_19,rlf_time_20,rlf_time_21,rlf_time_22,rlf_time_23,rlf_time_24,rlf_time_25,rlf_time_26,rlf_time_27,rlf_time_28,spont_count_ 1,spont_count_ 2,spont_count_ 3,spont_count_ 4,spont_count_ 5,spont_count_ 6,spont_count_ 7,spont_count_ 8,spont_count_ 9,spont_count_10,spont_count_11,spont_count_12,spont_count_13,spont_count_14,spont_count_15,spont_count_16,spont_count_17,spont_count_18,spont_count_19,spont_count_20,spont_count_21,spont_count_22,spont_count_23,spont_count_24,spont_count_25,spont_count_26,spont_count_27,spont_count_28,spont_time_ 1,spont_time_ 2,spont_time_ 3,spont_time_ 4,spont_time_ 5,spont_time_ 6,spont_time_ 7,spont_time_ 8,spont_time_ 9,spont_time_10,spont_time_11,spont_time_12,spont_time_13,spont_time_14,spont_time_15,spont_time_16,spont_time_17,spont_time_18,spont_time_19,spont_time_20,spont_time_21,spont_time_22,spont_time_23,spont_time_24,spont_time_25,spont_time_26,spont_time_27,spont_time_28,pupil_ 1,pupil_ 2,pupil_ 3,pupil_ 4,pupil_ 5,pupil_ 6,pupil_ 7,pupil_ 8,pupil_ 9,pupil_10,pupil_11,pupil_12,pupil_13,pupil_14,pupil_15,pupil_16,pupil_17,pupil_18,pupil_19,pupil_20,pupil_21,pupil_22,pupil_23,pupil_24,pupil_25,pupil_26,pupil_27,pupil_28,level_ 1,level_ 2,level_ 3,level_ 4,level_ 5,level_ 6,level_ 7,level_ 8,level_ 9,level_10,level_11,level_12,level_13,level_14,level_15,level_16,level_17,level_18,level_19,level_20,level_21,level_22,level_23,level_24,level_25,level_26,level_27,level_28
BOL006b-20-1,2,2,4,2,5,39,27,0,1,2,2,6,27,27,,,,,,,,,,,,,,,2.17,2.66,2.93,2.25,2,2.31,2.17,2.63,2.14,1.87,2.55,2.8,2.25,2.63,,,,,,,,,,,,,,,1935,1935,1935,1935,1935,1935,1935,2324,2324,2324,2324,2324,2324,2324,,,,,,,,,,,,,,,76.97,76.97,76.97,76.97,76.97,76.97,76.97,75.03,75.03,75.03,75.03,75.03,75.03,75.03,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL006b-21-1,198,189,163,86,90,62,39,279,170,128,138,146,94,103,,,,,,,,,,,,,,,2.17,2.66,2.93,2.25,2,2.31,2.17,2.63,2.14,1.87,2.55,2.8,2.25,2.63,,,,,,,,,,,,,,,1056,1056,1056,1056,1056,1056,1056,2117,2117,2117,2117,2117,2117,2117,,,,,,,,,,,,,,,76.97,76.97,76.97,76.97,76.97,76.97,76.97,75.03,75.03,75.03,75.03,75.03,75.03,75.03,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL006b-22-1,3,2,5,13,39,32,38,0,4,7,17,29,39,35,,,,,,,,,,,,,,,2.52,2.41,2.32,2.15,2.63,2.38,2.38,2.04,2.39,2.48,2.17,1.93,2.42,2.18,,,,,,,,,,,,,,,1945,1945,1945,1945,1945,1945,1945,2202,2202,2202,2202,2202,2202,2202,,,,,,,,,,,,,,,76.97,76.97,76.97,76.97,76.97,76.97,76.97,75.03,75.03,75.03,75.03,75.03,75.03,75.03,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL006b-24-1,0,0,2,0,4,3,1,1,2,1,8,0,1,3,,,,,,,,,,,,,,,2.46,2.05,2.13,2.07,2.51,2.02,2.57,2.34,2.75,2.67,2.73,2.29,2.54,2.23,,,,,,,,,,,,,,,157,157,157,157,157,157,157,238,238,238,238,238,238,238,,,,,,,,,,,,,,,76.97,76.97,76.97,76.97,76.97,76.97,76.97,75.03,75.03,75.03,75.03,75.03,75.03,75.03,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL006b-30-1,2,4,4,8,3,1,1,0,3,6,4,0,0,0,,,,,,,,,,,,,,,2.52,2.41,2.32,2.15,2.63,2.38,2.38,2.04,2.39,2.48,2.17,1.93,2.42,2.18,,,,,,,,,,,,,,,4,4,4,4,4,4,4,10,10,10,10,10,10,10,,,,,,,,,,,,,,,76.97,76.97,76.97,76.97,76.97,76.97,76.97,75.03,75.03,75.03,75.03,75.03,75.03,75.03,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL006b-34-1,2,1,1,2,1,2,1,7,4,8,4,2,4,2,,,,,,,,,,,,,,,2.28,1.94,2.31,2.49,2.34,2.51,2.36,2.52,2.62,2.49,2.31,2.46,2.29,2.44,,,,,,,,,,,,,,,169,169,169,169,169,169,169,157,157,157,157,157,157,157,,,,,,,,,,,,,,,76.97,76.97,76.97,76.97,76.97,76.97,76.97,75.03,75.03,75.03,75.03,75.03,75.03,75.03,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL006b-36-1,11,44,28,33,59,19,22,18,27,26,31,59,15,16,,,,,,,,,,,,,,,2.23,2.48,2.17,2.33,2.36,2.45,2.39,2.57,2.32,2.63,2.47,2.44,2.35,2.41,,,,,,,,,,,,,,,527,527,527,527,527,527,527,378,378,378,378,378,378,378,,,,,,,,,,,,,,,76.97,76.97,76.97,76.97,76.97,76.97,76.97,75.03,75.03,75.03,75.03,75.03,75.03,75.03,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL006b-37-1,9,9,33,52,56,23,29,17,20,39,40,69,34,25,,,,,,,,,,,,,,,2.28,1.94,2.31,2.49,2.34,2.51,2.36,2.52,2.62,2.49,2.31,2.46,2.29,2.44,,,,,,,,,,,,,,,733,733,733,733,733,733,733,892,892,892,892,892,892,892,,,,,,,,,,,,,,,76.97,76.97,76.97,76.97,76.97,76.97,76.97,75.03,75.03,75.03,75.03,75.03,75.03,75.03,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL006b-42-1,39,34,39,43,38,23,27,34,51,48,38,41,31,22,,,,,,,,,,,,,,,2.28,1.94,2.31,2.49,2.34,2.51,2.36,2.52,2.62,2.49,2.31,2.46,2.29,2.44,,,,,,,,,,,,,,,838,838,838,838,838,838,838,716,716,716,716,716,716,716,,,,,,,,,,,,,,,76.97,76.97,76.97,76.97,76.97,76.97,76.97,75.03,75.03,75.03,75.03,75.03,75.03,75.03,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL006b-43-1,34,37,26,38,29,12,46,19,38,30,50,22,15,33,,,,,,,,,,,,,,,2.27,2.46,2.64,2.03,2.6,2.17,2.34,2.29,2.34,2.16,2.77,2.2,2.63,2.22,,,,,,,,,,,,,,,63,63,63,63,63,63,63,39,39,39,39,39,39,39,,,,,,,,,,,,,,,76.97,76.97,76.97,76.97,76.97,76.97,76.97,75.03,75.03,75.03,75.03,75.03,75.03,75.03,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL006b-44-1,101,108,153,205,162,72,63,89,148,190,177,171,72,67,,,,,,,,,,,,,,,2.28,1.94,2.31,2.49,2.34,2.51,2.36,2.52,2.62,2.49,2.31,2.46,2.29,2.44,,,,,,,,,,,,,,,1303,1303,1303,1303,1303,1303,1303,1267,1267,1267,1267,1267,1267,1267,,,,,,,,,,,,,,,76.97,76.97,76.97,76.97,76.97,76.97,76.97,75.03,75.03,75.03,75.03,75.03,75.03,75.03,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL006b-48-1,130,200,196,170,96,75,52,165,167,134,190,155,68,76,,,,,,,,,,,,,,,2.17,2.66,2.93,2.25,2,2.31,2.17,2.63,2.14,1.87,2.55,2.8,2.25,2.63,,,,,,,,,,,,,,,1733,1733,1733,1733,1733,1733,1733,1740,1740,1740,1740,1740,1740,1740,,,,,,,,,,,,,,,76.97,76.97,76.97,76.97,76.97,76.97,76.97,75.03,75.03,75.03,75.03,75.03,75.03,75.03,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
