cellid,rlf_count_ 1,rlf_count_ 2,rlf_count_ 3,rlf_count_ 4,rlf_count_ 5,rlf_count_ 6,rlf_count_ 7,rlf_count_ 8,rlf_count_ 9,rlf_count_10,rlf_count_11,rlf_count_12,rlf_count_13,rlf_count_14,rlf_count_15,rlf_count_16,rlf_count_17,rlf_count_18,rlf_count_19,rlf_count_20,rlf_count_21,rlf_count_22,rlf_count_23,rlf_count_24,rlf_count_25,rlf_count_26,rlf_count_27,rlf_count_28,rlf_time_ 1,rlf_time_ 2,rlf_time_ 3,rlf_time_ 4,rlf_time_ 5,rlf_time_ 6,rlf_time_ 7,rlf_time_ 8,rlf_time_ 9,rlf_time_10,rlf_time_11,rlf_time_12,rlf_time_13,rlf_time_14,rlf_time_15,rlf_time_16,rlf_time_17,rlf_time_18,rlf_time_19,rlf_time_20,rlf_time_21,rlf_time_22,rlf_time_23,rlf_time_24,rlf_time_25,rlf_time_26,rlf_time_27,rlf_time_28,freq_band_ 1,freq_band_ 2,freq_band_ 3,freq_band_ 4,freq_band_ 5,freq_band_ 6,freq_band_ 7,freq_band_ 8,freq_band_ 9,freq_band_10,freq_band_11,freq_band_12,freq_band_13,freq_band_14,freq_band_15,freq_band_16,freq_band_17,freq_band_18,freq_band_19,freq_band_20,freq_band_21,freq_band_22,freq_band_23,freq_band_24,freq_band_25,freq_band_26,freq_band_27,freq_band_28,spont_count_ 1,spont_count_ 2,spont_count_ 3,spont_count_ 4,spont_count_ 5,spont_count_ 6,spont_count_ 7,spont_count_ 8,spont_count_ 9,spont_count_10,spont_count_11,spont_count_12,spont_count_13,spont_count_14,spont_count_15,spont_count_16,spont_count_17,spont_count_18,spont_count_19,spont_count_20,spont_count_21,spont_count_22,spont_count_23,spont_count_24,spont_count_25,spont_count_26,spont_count_27,spont_count_28,spont_time_ 1,spont_time_ 2,spont_time_ 3,spont_time_ 4,spont_time_ 5,spont_time_ 6,spont_time_ 7,spont_time_ 8,spont_time_ 9,spont_time_10,spont_time_11,spont_time_12,spont_time_13,spont_time_14,spont_time_15,spont_time_16,spont_time_17,spont_time_18,spont_time_19,spont_time_20,spont_time_21,spont_time_22,spont_time_23,spont_time_24,spont_time_25,spont_time_26,spont_time_27,spont_time_28,pupil_ 1,pupil_ 2,pupil_ 3,pupil_ 4,pupil_ 5,pupil_ 6,pupil_ 7,pupil_ 8,pupil_ 9,pupil_10,pupil_11,pupil_12,pupil_13,pupil_14,pupil_15,pupil_16,pupil_17,pupil_18,pupil_19,pupil_20,pupil_21,pupil_22,pupil_23,pupil_24,pupil_25,pupil_26,pupil_27,pupil_28,level_ 1,level_ 2,level_ 3,level_ 4,level_ 5,level_ 6,level_ 7,level_ 8,level_ 9,level_10,level_11,level_12,level_13,level_14,level_15,level_16,level_17,level_18,level_19,level_20,level_21,level_22,level_23,level_24,level_25,level_26,level_27,level_28
gus021b-d1,4,2,2,4,1,6,3,3,1,4,0,2,3,3,,,,,,,,,,,,,,,0.7,0.78,0.24,0.6,0.37,0.84,0.36,0.62,0.3,0.18,0.36,0.35,0.36,0.54,,,,,,,,,,,,,,,0.257157839497124,0.257157839497124,0.257157839497124,0.257157839497124,0.257157839497124,0.257157839497124,0.257157839497124,0.257157839497124,0.257157839497124,0.257157839497124,0.257157839497124,0.257157839497124,0.257157839497124,0.257157839497124,,,,,,,,,,,,,,,58,58,58,58,58,58,58,102,102,102,102,102,102,102,,,,,,,,,,,,,,,8,8,8,8,8,8,8,12,12,12,12,12,12,12,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,60,50,40,30,20,10,0,60,50,40,30,20,10,0,,,,,,,,,,,,,,
gus021d-a1,29,4,12,4,4,9,12,20,25,25,17,10,11,9,,,,,,,,,,,,,,,0.72,0.24,0.78,0.42,0.56,0.6,0.34,0.42,0.6,0.78,0.66,0.82,0.66,0.56,,,,,,,,,,,,,,,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,,,,,,,,,,,,,,,236,236,236,236,236,236,236,256,256,256,256,256,256,256,,,,,,,,,,,,,,,20.4,20.4,20.4,20.4,20.4,20.4,20.4,19.6,19.6,19.6,19.6,19.6,19.6,19.6,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,60,50,40,30,20,10,0,60,50,40,30,20,10,0,,,,,,,,,,,,,,
gus021d-a2,34,6,16,8,11,11,8,18,22,19,14,17,21,10,,,,,,,,,,,,,,,0.72,0.24,0.78,0.42,0.56,0.6,0.34,0.42,0.6,0.78,0.66,0.82,0.66,0.56,,,,,,,,,,,,,,,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,,,,,,,,,,,,,,,190,190,190,190,190,190,190,246,246,246,246,246,246,246,,,,,,,,,,,,,,,20.4,20.4,20.4,20.4,20.4,20.4,20.4,19.6,19.6,19.6,19.6,19.6,19.6,19.6,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,60,50,40,30,20,10,0,60,50,40,30,20,10,0,,,,,,,,,,,,,,
gus021d-b1,11,2,7,1,1,3,1,9,8,9,6,5,8,5,,,,,,,,,,,,,,,0.72,0.24,0.78,0.42,0.56,0.6,0.34,0.42,0.6,0.78,0.66,0.82,0.66,0.56,,,,,,,,,,,,,,,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,0.254813899028825,,,,,,,,,,,,,,,21,21,21,21,21,21,21,62,62,62,62,62,62,62,,,,,,,,,,,,,,,20.4,20.4,20.4,20.4,20.4,20.4,20.4,19.6,19.6,19.6,19.6,19.6,19.6,19.6,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,60,50,40,30,20,10,0,60,50,40,30,20,10,0,,,,,,,,,,,,,,
gus021e-b1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,,,,,,,,,,,,,,,0.42,0.3,0.48,0.43,0.42,0.42,0.4,0.48,0.6,0.3,0.47,0.42,0.42,0.38,,,,,,,,,,,,,,,0.255634954931886,0.255634954931886,0.255634954931886,0.255634954931886,0.255634954931886,0.255634954931886,0.255634954931886,0.255634954931886,0.255634954931886,0.255634954931886,0.255634954931886,0.255634954931886,0.255634954931886,0.255634954931886,,,,,,,,,,,,,,,2,2,2,2,2,2,2,4,4,4,4,4,4,4,,,,,,,,,,,,,,,10.85,10.85,10.85,10.85,10.85,10.85,10.85,9.15,9.15,9.15,9.15,9.15,9.15,9.15,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,60,50,40,30,20,10,0,60,50,40,30,20,10,0,,,,,,,,,,,,,,
gus021e-c1,3,2,2,4,0,0,1,2,1,1,1,0,0,0,,,,,,,,,,,,,,,0.42,0.3,0.48,0.43,0.42,0.42,0.4,0.48,0.6,0.3,0.47,0.42,0.42,0.38,,,,,,,,,,,,,,,0.255634954931886,0.255634954931886,0.255634954931886,0.255634954931886,0.255634954931886,0.255634954931886,0.255634954931886,0.255634954931886,0.255634954931886,0.255634954931886,0.255634954931886,0.255634954931886,0.255634954931886,0.255634954931886,,,,,,,,,,,,,,,6,6,6,6,6,6,6,10,10,10,10,10,10,10,,,,,,,,,,,,,,,10.85,10.85,10.85,10.85,10.85,10.85,10.85,9.15,9.15,9.15,9.15,9.15,9.15,9.15,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,60,50,40,30,20,10,0,60,50,40,30,20,10,0,,,,,,,,,,,,,,
gus025c-a1,71,59,52,71,59,69,56,98,113,66,112,90,57,63,,,,,,,,,,,,,,,2.09,2.38,1.85,1.74,1.67,1.92,1.92,1.99,2.18,1.33,2.16,1.87,2.04,2.04,,,,,,,,,,,,,,,0.266675696231165,0.266675696231165,0.266675696231165,0.266675696231165,0.266675696231165,0.266675696231165,0.266675696231165,0.266675696231165,0.266675696231165,0.266675696231165,0.266675696231165,0.266675696231165,0.266675696231165,0.266675696231165,,,,,,,,,,,,,,,399,399,399,399,399,399,399,440,440,440,440,440,440,440,,,,,,,,,,,,,,,19.03,19.03,19.03,19.03,19.03,19.03,19.03,20.97,20.97,20.97,20.97,20.97,20.97,20.97,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,60,50,40,30,20,10,0,60,50,40,30,20,10,0,,,,,,,,,,,,,,
gus025c-c1,66,79,61,37,19,20,18,63,42,68,30,49,33,23,,,,,,,,,,,,,,,1.61,2.09,2.1,2.08,1.2,1.56,1.14,1.75,1.69,2.46,1.64,2.22,1.86,1.62,,,,,,,,,,,,,,,0.266675001940719,0.266675001940719,0.266675001940719,0.266675001940719,0.266675001940719,0.266675001940719,0.266675001940719,0.266675001940719,0.266675001940719,0.266675001940719,0.266675001940719,0.266675001940719,0.266675001940719,0.266675001940719,,,,,,,,,,,,,,,325,325,325,325,325,325,325,438,438,438,438,438,438,438,,,,,,,,,,,,,,,19.03,19.03,19.03,19.03,19.03,19.03,19.03,20.97,20.97,20.97,20.97,20.97,20.97,20.97,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,60,50,40,30,20,10,0,60,50,40,30,20,10,0,,,,,,,,,,,,,,
gus026d-a1,10,11,9,14,14,20,21,14,12,8,26,15,19,20,,,,,,,,,,,,,,,0.82,0.93,0.96,1.14,0.9,1.08,0.96,0.92,0.87,1.08,1.38,0.9,1.26,0.78,,,,,,,,,,,,,,,0.258058637204231,0.258058637204231,0.258058637204231,0.258058637204231,0.258058637204231,0.258058637204231,0.258058637204231,0.258058637204231,0.258058637204231,0.258058637204231,0.258058637204231,0.258058637204231,0.258058637204231,0.258058637204231,,,,,,,,,,,,,,,597,597,597,597,597,597,597,479,479,479,479,479,479,479,,,,,,,,,,,,,,,19.8,19.8,19.8,19.8,19.8,19.8,19.8,20.2,20.2,20.2,20.2,20.2,20.2,20.2,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,60,50,40,30,20,10,0,60,50,40,30,20,10,0,,,,,,,,,,,,,,
gus027b-a1,85,64,30,54,65,53,30,62,47,65,63,58,43,32,,,,,,,,,,,,,,,1.02,0.85,0.42,0.66,0.96,0.96,0.77,0.66,0.41,0.6,0.6,0.6,0.84,0.85,,,,,,,,,,,,,,,0.256543387127358,0.256543387127358,0.256543387127358,0.256543387127358,0.256543387127358,0.256543387127358,0.256543387127358,0.256543387127358,0.256543387127358,0.256543387127358,0.256543387127358,0.256543387127358,0.256543387127358,0.256543387127358,,,,,,,,,,,,,,,387,387,387,387,387,387,387,342,342,342,342,342,342,342,,,,,,,,,,,,,,,20.07,20.07,20.07,20.07,20.07,20.07,20.07,19.93,19.93,19.93,19.93,19.93,19.93,19.93,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,60,50,40,30,20,10,0,60,50,40,30,20,10,0,,,,,,,,,,,,,,
gus028f-c1,30,23,26,32,20,27,22,22,36,20,29,19,20,18,,,,,,,,,,,,,,,0.94,0.62,0.86,0.72,0.81,1.08,0.96,0.74,1.06,0.64,0.96,0.93,1.14,1.08,,,,,,,,,,,,,,,0.407829856330631,0.407829856330631,0.407829856330631,0.407829856330631,0.407829856330631,0.407829856330631,0.407829856330631,0.407829856330631,0.407829856330631,0.407829856330631,0.407829856330631,0.407829856330631,0.407829856330631,0.407829856330631,,,,,,,,,,,,,,,498,498,498,498,498,498,498,384,384,384,384,384,384,384,,,,,,,,,,,,,,,21.47,21.47,21.47,21.47,21.47,21.47,21.47,18.53,18.53,18.53,18.53,18.53,18.53,18.53,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,60,50,40,30,20,10,0,60,50,40,30,20,10,0,,,,,,,,,,,,,,
